Gender,Race/Hispanic,Language,Current_Grade,Counselor,Grade_12_Year,City,State,ZIP,HH_Language,Translation_Req,PGP,Credential_Type,2017,2018,2019,2020,2021,2-D_Art_and_Design,Biology_AP_Exam,Calculus_AB,Calculus_BC,Calculus_BC:_AB_Subscore,Chemistry_AP_Exam,Computer_Science_Principles,Computer_Science_A,Chinese_Language_and_Culture,Drawing,English_Language_and_Composition,English_Literature_and_Composition,Environmental_Science,European_History,French_Language_and_Culture,Music_Aural_Subscore,Music_Non-Aural_Subscore,Music_Theory,Physics_1,Physics_C:_Electricity_and_Magnetism,Physics_C:_Mechanics,Spanish_Language_and_Culture,United_States_History,World_History:_Modern,Math_8_Final,Science_8_Final,English_8_Final,Math_9_Final,Science_9_Final,English_9_Final,Math_10_Final,Science_10_Final,English_10_Final,Math_11_Final,Science_11_Final,English_11_Final,Math_12_Final,Science_12_Final,English_12_Final,Math_Average,Science_Average,English_Average,Math_8_Course,Science_8_Course,English_8_Course,Math_9_Course,Science_9_Course,English_9_Course,Math_10_Course,Science_10_Course,English_10_Course,Math_11_Course,Science_11_Course,English_11_Course,Math_12_Course,Science_12_Course,English_12_Course,M_Math6,M_Math7,M_Math8,M_Algebra1,M_Geometry,M_Algebra2,M_Calculus,M_APCalculusAB,M_APCalculusBC,S_Science6,S_Science7,S_Science8,S_EarthScience,S_Biology,S_APBiology,S_Chemistry,S_APChemistry,S_Physics,S_AppliedPhysics,S_APPhysics,E_ELA6,E_ELA7,E_ELA8,E_ELA9,E_ELA10,E_ELA11,E_ELA12,E_APLanguage,E_APLiterature
Female,White/No,English,12,GC,2014,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,97,96,97,97,96,91,90,98,90,96,100,91,97,100,92.6,95.4,98,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SCAP10,ENAP11,MAAP20,SCAP40,ENAP12,96,97,94,94,97,91,,90,91,95,95,97,97,97,96,90,,,,97,96,92,96,96,98,100,100,100,100
Female,White/No,English,12,GC,2014,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,90,90,94,92,86,93,96,78,73,97,92,97,100,85.8,88,95,MA0810,SC0810,EN0810,MA0910,SC0910,EN0940,MA1010,SC1040,EN1040,MA1110,SC1140,ENAP11,MA0095,SC1210,ENAP12,88,78,83,90,86,78,,,,85,85,83,94,93,,73,,97,,,89,83,90,92,96,97,100,97,100
Female,White/No,English,12,BL,2007,Somers,NY,10589,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,93,93,94,95,96,95,97,91,97,86,93,,88,94,95.25,91.8,93.4,1708,1204,1003,316,221,11,337,237,20,321,233,35,,230,40P,97,93,89,,94,95,,97,,95,95,93,93,95,88,97,86,94,,,94,92,93,96,91,,94,,94
Male,White/Yes,English,12,GC,2009,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,96,82,86,89,81,88,80,80,86,88,80,75,90,85,85.2,88.6,81.6,1309,1205,1003,324,211,11,345,221,21,MA1140,SC1110,EN1110,MAAP10,SC1210,EN1210,81.67,77,91,86,88,86,,75,,81,81,96,89,80,,88,,90,,,77.33,80,82,81,80,80,85,,
Female,White/No,English,9,JD,,Carmel,NY,10512,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,68,56,,,,,,,,,,,,,50,68,56,1309,1205,1003,,,,,,,,,,,,,60,65,50,,,,,,,76,65,68,,,,,,,,,71,65,56,,,,,,
Male,White/No,English,12,JD,2019,Brewster,NY,10509,English,No,Attend 4 Year college in NYS,Regents with Honors,,,75539941,U8V63618,,,3,,,,,,,,,,2,,,,,,,,,,,,4,88,93,88,87,83,88,83,88,87,83,80,90,86,94,99,85.4,87.6,90.4,MA0810,SC0840,EN0810,MA0910,SC1040,EN0910,MA1010,SC1110,EN1010,MA1110,SCAP10,EN1110,MA1210,SC1210,ENAP12,88,90,88,87,83,83,86,,,91,90,93,93,83,80,88,,94,,,85,90,88,88,87,90,99,,99
Female,White/No,English,12,BL,2007,Brewster,NY,10509,English,No,Attend 2 Year college in NYS,Local Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,66,70,80,65,75,76,69,72,,67,67,,,80,73.66666667,66.75,72.8,1309,1205,1003,391,211,11,395,220,21,,232,31,,,41,,,65,,,,,,,,,66,58,69,,67,,,,,,,70,75,72,67,80,,
Male,White/No,English,12,BL,2009,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,86,78,65,91,74,90,86,73,74,77,83,91,94,94,81,86.8,80.4,1309,1205,1003,324,211,11,352,221,21,MA1110,SC1140,EN1110,MA1210,SC1210,EN1210,82.33,77,85,65,75,74,91,,,81,86,86,91,86,,77,,94,,,77.33,78,78,74,73,83,94,,
Male,White/No,English,12,BL,2013,North Salem,NY,10560,English,No,Attend 4 Year college in NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,97,91,91,95,94,89,84,97,87,99,98,,88,97,88.75,92.6,95.4,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SC0055,ENAP11,,SC1210,ENAP12,97,96,88,88,91,89,,87,,95,93,97,97,95,,84,,88,,,97,93,91,94,97,98,97,98,97
Female,White/No,English,12,GC,2015,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,95,95,87,90,92,77,75,94,87,91,100,91,90,98,86,88.2,95.8,MA0840,SC0840,EN0810,MA1010,SC1040,EN0940,MA1110,SC1140,EN1040,MA1210,SCAP30,ENAP11,MA0080,SC1210,ENAP12,95,94,88,88,87,77,87,,,93,94,95,95,90,,75,,90,,,94,96,95,92,94,100,98,100,98
Male,White/No,English,12,BL,2007,Purdys,NY,10578,English,No,Seek employment,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,76,,,83,74,70,79,72,85,77,,89,95,82,78.25,82,76,1309,1205,,,211,13,396,220,21,390,232,,322P,242,39P,77,75,69,,,,,,,76,83,76,83,79,,77,,,,,75,71,72,74,72,65,82,,
Male,White/No,English,12,GC,2007,North Salem,NY,10560,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,78,,,69,,,71,,,71.25,,,,,,17,,,17,,,22,,,18,,,72,72,81,70,,,,,,,,65,,,,,,,,,72,78,,69,,,
Male,White/No,English,2,,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/Yes,English,12,JD,2019,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,75542402,V50U95VV,,,,,,,3,,,,,3,3,,,,,,,,,,3,,,93,96,96,91,93,94,89,90,93,91,93,96,88,89,99,90.4,92.2,95.6,MA0810,SC0840,EN0810,MA0910,SC1040,EN0940,MA1010,SC1140,EN1040,MA1110,SCAP20,ENAP11,MA1210,SC1210,ENAP12,92,93,93,91,89,91,88,,,93,94,96,96,93,,90,93,89,,,95,95,96,94,93,96,99,96,99
Female,White/No,English,12,GC,2010,Carmel,NY,10512,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Des & Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,93,92,92,89,87,88,84,86,85,90,94,93,96,99,89.8,90.4,91.6,1306,1204,1003,345,221,10P,MA1140,SC1140,EN1040,MAAP10,SCAP30,ENAP11,MAAP30,SC1210,ENAP12,96,96,91,,92,88,,85,,96,91,93,93,89,,84,,96,,,89,88,92,87,86,94,99,94,99
Female,White/No,English,8,,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White/No,English,7,JG,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/No,English,12,BL,2017,Croton Falls,NY,10519,English,No,Attend 4 Year college outside NYS,Regents with Honors,71196551,39612011,,,,,4,4,,,2,,,,,4,3,,,3,,,,,,,,4,,97,97,96,95,98,97,90,94,97,84,87,99,,92,98,91.5,93.6,97.4,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SCAP20,ENAP11,,SCAP10,ENAP12,98,98,97,97,95,90,,84,,96,98,97,97,98,92,94,87,,,,97,96,96,97,97,99,98,99,98
